⚠️ No row found for idx: {0} in parent field: {1},⚠️ Pro idx: {0} v nadřazeném poli {1} nebyl nalezen žádný řádek.
⚠️ No data found for parent field: {0},⚠️ Pro nadřazené pole {0} nebyla nalezena žádná data.
"⚠️ No class found for doctype: {0}, it is mandatory to have a class for the parent doctype. it can be empty, but it should be present.","⚠️ Pro DocType {0} nebyla nalezena žádná třída. Třída pro nadřazený DocType je povinná — může být prázdná, ale musí existovat."
"⚠️ Method ""{0}"" not found in class.",⚠️ Metoda „{0}“ nebyla v třídě nalezena.
"⚠️ Avoid using ""trigger"" as a field name — it conflicts with the built-in trigger() method.",⚠️ Nepoužívejte „trigger“ jako název pole — koliduje s vestavěnou metodou trigger().
← Back to upload files,← Zpět na nahrávání souborů
{} {} is not affecting bank account {},{} {} neovlivňuje bankovní účet {}
{} {} is already linked with {} {},{} {} je již propojeno s {} {}
{} {} is already linked with another {},{} {} je již propojeno s jiným {}
{} not found in PATH! This is required to take a backup.,{} nenalezeno v PATH! Toto je vyžadováno pro pořízení zálohy.
{} not found in PATH! This is required to restore the database.,{} nenalezeno v PATH! Toto je vyžadováno pro obnovení databáze.
{} not found in PATH! This is required to access the console.,{} nenalezeno v PATH! Toto je vyžadováno pro přístup ke konzole.
{} is not a valid date string.,{} není platný řetězec data.
{} is a child company.,{} je dceřiná společnost.
{} has submitted assets linked to it. You need to cancel the assets to create purchase return.,{} má propojený potvrzený majetek. Pro vytvoření nákupní vratky je nutné tento majetek nejprve zrušit.
{} has been disabled. It can only be enabled if {} is checked.,"{} bylo zakázáno. Lze jej povolit pouze tehdy, je-li zaškrtnuto {}."
{} field cannot be empty.,Pole {} nesmí být prázdné.
{} does not support automated log clearing.,{} nepodporuje automatické čištění protokolů.
{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {},"{} nelze zrušit, protože nabyté věrnostní body byly uplatněny. Nejprve zrušte {} č. {}"
{} Invalid python code on line {},{} neplatný kód Python na řádku {}
{} Complete,{} dokončeno
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} není platný vzor názvu pole. Správný formát je {{field_name}}.
{item_name}'s Sample Size ({sample_size}) cannot be greater than the Accepted Quantity ({accepted_quantity}),Velikost vzorku položky {item_name} ({sample_size}) nesmí být větší než přijaté množství ({accepted_quantity})
{field_label} is mandatory for sub-contracted {doctype}.,{field_label} je povinné pro subdodavatelský {doctype}.
{doctype} {name} is cancelled or closed.,{doctype} {name} je stornováno nebo uzavřeno.
{count} rows selected,{count} řádků vybráno
{count} row selected,{count} řádek vybrán
{count} cells copied,{count} buněk zkopírováno
{count} cell copied,{count} buňka zkopírována
{count} Assets created for {item_code},Pro {item_code} bylo vytvořeno {count} majetků
{1} saved,{1} uloženo
{0}:Fieldtype {1} for {2} cannot be indexed,{0}: typ pole {1} pro {2} nelze indexovat
{0}: {1} must be less than {2},{0}: {1} musí být menší než {2}
{0}: {1} is set to state {2},{0}: {1} je nastaven do stavu {2}
{0}: {1} is a group account.,{0}: {1} je skupinový účet.
{0}: {1} does not exists,{0}: {1} neexistuje
{0}: {1} does not belong to the Company: {2},{0}: {1} nepatří ke společnosti: {2}
{0}: fieldname cannot be set to reserved keyword {1},{0}: název pole nelze nastavit na rezervované klíčové slovo {1}
{0}: fieldname cannot be set to reserved field {1} in DocType,{0}: název pole nelze nastavit na rezervované pole {1} v DocType
{0}: You can increase the limit for the field if required via {1},{0}: limit pro toto pole lze v případě potřeby zvýšit prostřednictvím {1}
{0}: Virtual DocType (no database table),{0}: virtuální DocType (bez databázové tabulky)
{0}: Protected DocType,{0}: chráněný DocType
{0}: Permission at level 0 must be set before higher levels are set,{0}: oprávnění na úrovni 0 musí být nastaveno před nastavením vyšších úrovní
{0}: Other permission rules may also apply,{0}: mohou platit i další pravidla oprávnění
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}: možnosti {1} musí být stejné jako název DocType {2} pro pole {3}
{0}: Options required for Link or Table type field {1} in row {2},{0}: pro pole typu Odkaz nebo Tabulka {1} na řádku {2} jsou vyžadovány možnosti
{0}: Options must be a valid DocType for field {1} in row {2},{0}: možnosti musí být platný DocType pro pole {1} na řádku {2}
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: se stejnou rolí, úrovní a hodnotou {1} je povoleno pouze jedno pravidlo"
{0}: Not found,{0}: nenalezeno
{0}: No basic permissions set,{0}: nejsou nastavena žádná základní oprávnění
{0}: Fieldtype {1} for {2} cannot be unique,{0}: typ pole {1} pro {2} nemůže být unikátní
{0}: Fieldname {1} appears multiple times in rows {2},{0}: název pole {1} se vyskytuje vícekrát na řádcích {2}
{0}: Field {1} of type {2} cannot be mandatory,{0}: pole {1} typu {2} nemůže být povinné
{0}: Field {1} in row {2} cannot be hidden and mandatory without default,{0}: pole {1} na řádku {2} nemůže být zároveň skryté a povinné bez výchozí hodnoty
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,"{0}: pole '{1}' nelze nastavit jako unikátní, protože obsahuje neunikátní hodnoty"
"{0}: Failed to attach new recurring document. To enable attaching document in the auto repeat notification email, enable {1} in Print Settings","{0}: nepodařilo se připojit nový opakující se dokument. Chcete-li povolit připojování dokumentů v e-mailovém oznámení o automatickém opakování, povolte {1} v Nastavení tisku"
{0}: Child table (auto-deleted with parent),{0}: podřízená tabulka (automaticky smazána spolu s nadřazeným záznamem)
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: nelze nastavit Potvrdit, Zrušit ani Opravit bez oprávnění Zapisovat"
{0}: Cannot set Import without Create,{0}: nelze nastavit Import bez Vytvořit
{0}: Cannot set Cancel without Submit,{0}: nelze nastavit Zrušit bez Potvrdit
{0}: Cannot set Assign Submit if not Submittable,"{0}: nelze nastavit oprávnění Potvrdit, pokud DocType není odeslatelný"
{0}: Cannot set Assign Amend if not Submittable,"{0}: nelze nastavit oprávnění Opravit, pokud DocType není odeslatelný"
{0}: Cannot set Amend without Cancel,{0}: nelze nastavit Opravit bez Zrušit
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: hodnota '{1}' ({3}) bude zkrácena, protože maximální povolený počet znaků je {2}"
{0}/{1} complete | Please leave this tab open until completion.,{0}/{1} dokončeno | Ponechte prosím tuto záložku otevřenou až do dokončení.
"{0}, complete the operation {1} before the operation {2}.","{0}, dokončete operaci {1} před operací {2}."
{0}'s {1} cannot be after {2}'s Expected End Date.,Datum {1} záznamu {0} nesmí být pozdější než očekávané datum ukončení záznamu {2}.
{0}% of total invoice value will be given as discount.,{0} % celkové hodnoty faktury bude poskytnuto jako sleva.
{0}% Delivered,{0} % doručeno
{0}% Billed,{0} % vyfakturováno
{0} {1}: Supplier is required against Payable account {2},{0} {1}: pro závazkový účet {2} je vyžadován dodavatel
{0} {1}: Submitted Record cannot be deleted. You must {2} Cancel {3} it first.,{0} {1}: potvrzený záznam nelze smazat. Nejprve jej musíte {2} zrušit {3}.
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: pro {2} je vyžadována debetní nebo kreditní částka
{0} {1}: Customer is required against Receivable account {2},{0} {1}: pro pohledávkový účet {2} je vyžadován zákazník
{0} {1}: Cost Center {2} is a group cost center and group cost centers cannot be used in transactions,{0} {1}: nákladové středisko {2} je skupinové a skupinová nákladová střediska nelze používat v transakcích
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: nákladové středisko {2} nepatří ke společnosti {3}
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}.,{0} {1}: pro účet typu 'Výnosy a náklady' {2} je vyžadováno nákladové středisko.
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: nákladové středisko je povinné pro položku {2}
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: účetní zápis pro {2} lze provést pouze v měně: {3}
{0} {1}: Account {2} is inactive,{0} {1}: účet {2} je neaktivní
{0} {1}: Account {2} is a Group Account and group accounts cannot be used in transactions,{0} {1}: účet {2} je skupinový účet a skupinové účty nelze používat v transakcích
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: účet {2} nepatří ke společnosti {3}
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: účet typu 'Výnosy a náklady' {2} není v počátečním zápisu povolen
{0} {1} via CSV File,{0} {1} prostřednictvím souboru CSV
{0} {1} not found,{0} {1} nenalezeno
